Orario;Umidità dell'aria (%);Pressione (mPa);Temperatura dell'aria (°C);Punto di rugiada (°C);Direzione del vento (°);Velocità media del vento (km/h);Batteria (V);Fotocamera;Tipo di device;flags;hw;Latitudine;Livello liquido (mm);Longitudine;Lux;Umidità fogliare (%);Umidità suolo superficie (%);Umidità suolo profondità (%);Massima velocità del vento (km/h);Temperatura liquido (°C);pH;Foto;Pannello solare;Quantità di pioggia (mm);Qualità Segnale (dBm);rst;sd;Potenziale idrico 1 (Superficie);Potenziale idrico 2;Umidità suolo 1 (Superficie) (%);Umidità suolo 2 (%);Umidità suolo 3 (%);Umidità suolo 4 (%);Umidità suolo 5 (%);Umidità suolo 6 (%);Umidità suolo 7 (%);Umidità suolo 8 (%);Umidità suolo 9 (%);sms1;sms2;SNR;Radiazione solare (W/m2);Salinità suolo 1 (Superficie) (°C);Salinità suolo 2 (°C);Salinità suolo 3 (°C);Salinità suolo 4 (°C);Salinità suolo 5 (°C);Salinità suolo 6 (°C);Salinità suolo 7 (°C);Salinità suolo 8 (°C);Salinità suolo 9 (°C);Temperatura suolo 1 (Superficie) (°C);Temperatura suolo 2 (°C);Temperatura suolo 3 (°C);Temperatura suolo 4 (°C);Temperatura suolo 5 (°C);Temperatura suolo 6 (°C);Temperatura suolo 7 (°C);Temperatura suolo 8 (°C);Temperatura suolo 9 (°C);vpd;Umidità fogliare 1 (min);Umidità fogliare 2 (min);ID Sensore;Descrizione
2023-07-26 16:00:;;;;;;;4.27;;;;;;;;;;14.5;16.05;;;;;;;;;;;;14.5;16.05;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-26 15:00:;;;;;;;4.26;;;;;;;;;;14.5;16.05;;;;;;;;;;;;14.5;16.05;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-26 14:00:;;;;;;;4.26;;;;;;;;;;14.5;16.05;;;;;;;;;;;;14.5;16.05;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-26 13:00:;;;;;;;4.26;;;;;;;;;;14.5;16.1;;;;;;;;;;;;14.5;16.1;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-26 12:00:;;;;;;;4.26;;;;;;;;;;14.5;16.1;;;;;;;;;;;;14.5;16.1;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-26 11:00:;;;;;;;4.26;;;;;;;;;;14.5;16.1;;;;;;;;;;;;14.5;16.1;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-26 10:00:;;;;;;;4.27;;;;;;;;;;14.5;16.2;;;;;;;;;;;;14.5;16.2;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-26 09:00:;;;;;;;4.27;;;;;;;;;;14.5;16.2;;;;;;;;;;;;14.5;16.2;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-26 08:00:;;;;;;;4.27;;;;;;;;;;14.5;16.25;;;;;;;;;;;;14.5;16.25;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-26 06:00:;;;;;;;4.26;;;;;;;;;;14.55;16.3;;;;;;;;;;;;14.55;16.3;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-26 05:00:;;;;;;;4.26;;;;;;;;;;14.6;16.3;;;;;;;;;;;;14.6;16.3;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-26 04:00:;;;;;;;4.26;;;;;;;;;;14.6;16.25;;;;;;;;;;;;14.6;16.25;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-26 03:00:;;;;;;;4.26;;;;;;;;;;14.6;16.25;;;;;;;;;;;;14.6;16.25;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-26 02:00:;;;;;;;4.26;;;;;;;;;;14.6;16.25;;;;;;;;;;;;14.6;16.25;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-26 01:00:;;;;;;;4.26;;;;;;;;;;14.6;16.2;;;;;;;;;;;;14.6;16.2;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-26 00:00:;;;;;;;4.26;;;;;;;;;;14.6;16.3;;;;;;;;;;;;14.6;16.3;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 23:00:;;;;;;;4.26;;;;;;;;;;14.65;16.2;;;;;;;;;;;;14.65;16.2;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 22:00:;;;;;;;4.26;;;;;;;;;;14.65;16.2;;;;;;;;;;;;14.65;16.2;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 21:00:;;;;;;;4.26;;;;;;;;;;14.6;16.2;;;;;;;;;;;;14.6;16.2;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 20:00:;;;;;;;4.26;;;;;;;;;;14.65;16.2;;;;;;;;;;;;14.65;16.2;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 19:00:;;;;;;;4.26;;;;;;;;;;14.65;16.15;;;;;;;;;;;;14.65;16.15;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 18:00:;;;;;;;4.26;;;;;;;;;;14.6;16.15;;;;;;;;;;;;14.6;16.15;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 17:00:;;;;;;;4.26;;;;;;;;;;14.65;16.1;;;;;;;;;;;;14.65;16.1;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 16:00:;;;;;;;4.26;;;;;;;;;;14.55;16.05;;;;;;;;;;;;14.55;16.05;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 15:00:;;;;;;;4.26;;;;;;;;;;14.6;16.05;;;;;;;;;;;;14.6;16.05;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 14:00:;;;;;;;4.26;;;;;;;;;;14.55;16.1;;;;;;;;;;;;14.55;16.1;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 13:00:;;;;;;;4.26;;;;;;;;;;14.6;16.1;;;;;;;;;;;;14.6;16.1;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 12:00:;;;;;;;4.26;;;;;;;;;;14.5;16.05;;;;;;;;;;;;14.5;16.05;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 11:00:;;;;;;;4.26;;;;;;;;;;14.55;16.1;;;;;;;;;;;;14.55;16.1;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 10:00:;;;;;;;4.26;;;;;;;;;;14.6;16.2;;;;;;;;;;;;14.6;16.2;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 09:00:;;;;;;;4.27;;;;;;;;;;14.6;16.2;;;;;;;;;;;;14.6;16.2;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 08:00:;;;;;;;4.27;;;;;;;;;;14.6;16.2;;;;;;;;;;;;14.6;16.2;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 07:00:;;;;;;;4;;;;;;;;;;14.7;16.3;;;;;;;;;;;;14.7;16.3;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 06:00:;;;;;;;3.71;;;;;;;;;;14.65;16.3;;;;;;;;;;;;14.65;16.3;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 05:00:;;;;;;;3.7;;;;;;;;;;14.65;16.2;;;;;;;;;;;;14.65;16.2;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 04:00:;;;;;;;3.69;;;;;;;;;;14.7;16.3;;;;;;;;;;;;14.7;16.3;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 03:00:;;;;;;;3.69;;;;;;;;;;14.6;16.2;;;;;;;;;;;;14.6;16.2;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 02:00:;;;;;;;3.7;;;;;;;;;;14.7;16.2;;;;;;;;;;;;14.7;16.2;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 01:00:;;;;;;;3.7;;;;;;;;;;14.7;16.3;;;;;;;;;;;;14.7;16.3;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-25 00:00:;;;;;;;3.7;;;;;;;;;;14.7;16.25;;;;;;;;;;;;14.7;16.25;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 23:00:;;;;;;;3.7;;;;;;;;;;14.7;16.25;;;;;;;;;;;;14.7;16.25;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 22:00:;;;;;;;3.7;;;;;;;;;;14.7;16.2;;;;;;;;;;;;14.7;16.2;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 21:00:;;;;;;;3.7;;;;;;;;;;14.75;16.25;;;;;;;;;;;;14.75;16.25;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 20:00:;;;;;;;3.7;;;;;;;;;;14.75;16.2;;;;;;;;;;;;14.75;16.2;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 19:00:;;;;;;;3.71;;;;;;;;;;14.8;16.15;;;;;;;;;;;;14.8;16.15;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 18:00:;;;;;;;3.71;;;;;;;;;;14.75;16.15;;;;;;;;;;;;14.75;16.15;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 17:00:;;;;;;;3.73;;;;;;;;;;14.7;16.1;;;;;;;;;;;;14.7;16.1;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 16:00:;;;;;;;3.75;;;;;;;;;;14.7;16.1;;;;;;;;;;;;14.7;16.1;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 15:00:;;;;;;;4.27;;;;;;;;;;14.7;16.05;;;;;;;;;;;;14.7;16.05;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 14:00:;;;;;;;4.27;;;;;;;;;;14.65;16.05;;;;;;;;;;;;14.65;16.05;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 13:00:;;;;;;;4.27;;;;;;;;;;14.6;16.1;;;;;;;;;;;;14.6;16.1;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 12:00:;;;;;;;4.27;;;;;;;;;;14.7;16.2;;;;;;;;;;;;14.7;16.2;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 11:00:;;;;;;;4.27;;;;;;;;;;14.65;16.25;;;;;;;;;;;;14.65;16.25;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 10:00:;;;;;;;4.27;;;;;;;;;;14.7;16.3;;;;;;;;;;;;14.7;16.3;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 09:00:;;;;;;;4.27;;;;;;;;;;14.7;16.25;;;;;;;;;;;;14.7;16.25;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 08:00:;;;;;;;4.26;;;;;;;;;;14.7;16.35;;;;;;;;;;;;14.7;16.35;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 07:00:;;;;;;;4.26;;;;;;;;;;14.75;16.45;;;;;;;;;;;;14.75;16.45;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 06:00:;;;;;;;4.26;;;;;;;;;;14.8;16.5;;;;;;;;;;;;14.8;16.5;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 05:00:;;;;;;;4.26;;;;;;;;;;14.8;16.45;;;;;;;;;;;;14.8;16.45;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 04:00:;;;;;;;4.26;;;;;;;;;;14.8;16.5;;;;;;;;;;;;14.8;16.5;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 03:00:;;;;;;;4.26;;;;;;;;;;14.8;16.5;;;;;;;;;;;;14.8;16.5;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 02:00:;;;;;;;4.26;;;;;;;;;;14.8;16.4;;;;;;;;;;;;14.8;16.4;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 01:00:;;;;;;;4.26;;;;;;;;;;14.85;16.5;;;;;;;;;;;;14.85;16.5;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-24 00:00:;;;;;;;4.26;;;;;;;;;;14.8;16.45;;;;;;;;;;;;14.8;16.45;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-23 23:00:;;;;;;;4.26;;;;;;;;;;14.9;16.5;;;;;;;;;;;;14.9;16.5;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-23 22:00:;;;;;;;4.26;;;;;;;;;;14.85;16.4;;;;;;;;;;;;14.85;16.4;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-23 21:00:;;;;;;;4.26;;;;;;;;;;14.85;16.35;;;;;;;;;;;;14.85;16.35;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-23 20:00:;;;;;;;4.26;;;;;;;;;;14.85;16.3;;;;;;;;;;;;14.85;16.3;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-23 19:00:;;;;;;;4.26;;;;;;;;;;14.9;16.3;;;;;;;;;;;;14.9;16.3;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-23 18:00:;;;;;;;4.26;;;;;;;;;;14.8;16.3;;;;;;;;;;;;14.8;16.3;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-23 17:00:;;;;;;;4.26;;;;;;;;;;14.8;16.3;;;;;;;;;;;;14.8;16.3;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-23 16:00:;;;;;;;4.25;;;;;;;;;;14.8;16.25;;;;;;;;;;;;14.8;16.25;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-23 15:00:;;;;;;;4.25;;;;;;;;;;14.8;16.25;;;;;;;;;;;;14.8;16.25;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-23 14:00:;;;;;;;4.25;;;;;;;;;;14.8;16.25;;;;;;;;;;;;14.8;16.25;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-23 13:00:;;;;;;;4.25;;;;;;;;;;14.8;16.3;;;;;;;;;;;;14.8;16.3;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-23 12:00:;;;;;;;4.26;;;;;;;;;;14.8;16.3;;;;;;;;;;;;14.8;16.3;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-23 11:00:;;;;;;;4.26;;;;;;;;;;14.8;16.3;;;;;;;;;;;;14.8;16.3;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-23 10:00:;;;;;;;4.26;;;;;;;;;;14.8;16.45;;;;;;;;;;;;14.8;16.45;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-23 09:00:;;;;;;;4.26;;;;;;;;;;14.8;16.5;;;;;;;;;;;;14.8;16.5;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-23 08:00:;;;;;;;4.26;;;;;;;;;;14.8;16.5;;;;;;;;;;;;14.8;16.5;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
2023-07-23 07:00:;;;;;;;4.26;;;;;;;;;;14.8;16.6;;;;;;;;;;;;14.8;16.6;0;0;0;0;0;0;0;;;;;;;;;;;;;;-99;-99;;;;;;;;;;0;DE6008D81F7F6E25;Paulownia - xNode #1
